id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Late Night Bars,Dre Velvet,r&b,romantic,0.55,92,0.74,0.71,0.45
12,Bass Cathedral,KVNG,hip-hop,hype,0.88,140,0.68,0.85,0.08
13,Sunday Morning Strings,Clara Bow,classical,peaceful,0.22,68,0.72,0.30,0.97
14,Neon Cumbia,Los Voltios,latin,happy,0.80,126,0.88,0.92,0.12
15,Backroad Dust,Hank Rivers,country,nostalgic,0.50,104,0.63,0.55,0.82
16,Iron Lung,Shatter Dept,metal,aggressive,0.97,176,0.25,0.52,0.03
17,Dancefloor Ritual,Pulse Unit,electronic,euphoric,0.90,128,0.82,0.94,0.06
18,Monsoon Jazz,Blue Canopy,jazz,melancholy,0.44,84,0.47,0.48,0.88
19,Island Frequency,Riddim Coast,reggae,chill,0.52,96,0.78,0.76,0.60
20,Ghost Protocol,Hex Array,electronic,dark,0.85,138,0.32,0.70,0.09
